Date,oi,oi_chg,VSTD,VOSC,VMACD,VMA,VHF,TRIX,SRMI,SOBV,WR,SI,SAR,ROC,RSI,RC,PVT,PRICEOSC,MTM,MIKE,MACD,MA,slowKD,KDJ,EXPMA,ENV,DPO,DMI_2,DMA,CCI,BIAS,ADTM,end,begin,highest,lowest,closing_price_down,swing,contract_volume,contract_position,one,two,three,all_v,all_p,delta
1991/1/16,35727,-7636,131.5040112,17.44157023,-4.848379697,322.672,0.314298362,0.02646158,0.20375,573622,7.978723404,13.47368421,23.69254,16.06819006,76.20161489,94.11764706,53019.57775,2.55431241,4.83,40.48333333,0.345556532,29.57,73.89831782,76.48716678,28.61389107,29.51494286,4.946,37.06978213,-1.0942,182.6845899,14.54480372,0.234641007,32,31.2,32.75,31,6.418357167,5.819753908,27365,35727,1.71,4.05,5.65,125297,225594,-3.06
1991/1/17,52841,17114,140.6942814,21.09878698,13.05347342,355.768,0.343816148,0.013399307,-0.171485944,517978,98.93877551,-131.4688746,32.75,-27.46132208,27.02609457,64.5494368,33248.569,1.113802363,-6.63,22.11333333,-0.316931844,28.154,71.27361522,51.34518602,27.38560014,29.03188571,-6.291,27.48127341,-1.3526,-236.2923033,-24.39300003,0.083641747,21.44,24.5,24.5,21.1,-33,10.625,22608,32447,0.81,1.31,1.61,128856,237353,-2.95
1991/1/18,51823,-1018,134.563755,21.20776378,31.84195124,419.754,0.37677382,-0.1076215,-0.313200723,456177,97.24381625,-53.6509571,32.505,-28.31257078,24.31062162,58.19797732,28335.64413,-0.133923527,-8.72,20.82666667,-0.963189895,26.494,58.0237932,35.14885193,26.09396935,28.38225714,-7.672,24.7771836,-1.6708,-208.21522,-28.77191886,-0.202239789,19.25,22.2,22.5,18,-10.21455224,20.98880597,20843,29752,0.26,0.47,0.62,140379,238572,0
1991/1/21,49289,-2534,136.5635545,18.92414177,25.29911247,418.984,0.366066404,-0.268593688,-0.252116305,491778,87.84452297,-10.11996494,31.9488,-20.25117739,31.05234216,57.54743699,30829.02644,-1.037876252,-6.97,22.18,-1.352444039,24.402,31.3979925,27.48439363,25.20566637,27.76745714,-6.2225,22.40736681,-2.104,-140.2818646,-22.53391365,-0.259816754,21.3,21.3,21.7,20.6,10.64935065,5.714285714,18301,26094,0.98,1.53,1.88,79715,225390,1.43
1991/1/22,51215,1926,136.9570137,21.88022395,21.97387854,437.262,0.355367386,-0.422698881,-0.197358767,529998,76.81978799,23.94394678,31.414848,-12.12851406,38.73328615,61.58176189,33763.23904,-1.344519154,-8.9,25.05333333,-1.517558322,22.764,16.6559381,26.04966642,24.69402539,27.41841429,-4.725,25.49019608,-2.36,-87.78838419,-15.77866881,-0.132802125,24.18,22.75,24.95,22.75,13.52112676,10.3286385,20359,24321,2.3,3.18,3.81,87707,226133,-0.76
1991/1/23,49659,-1556,114.6881375,21.10207737,25.68825221,475.444,0.364323719,-0.560214719,-0.204619271,483542,75.68904594,-2.336797153,30.90225408,-20.28933092,39.56195708,65.03393331,34102.95385,-2.521722088,-8.03,26.32666667,-1.616863719,20.772,12.63460013,25.47009564,24.28571379,27.15795714,-4.5945,28.31683168,-2.645,-64.7981308,-13.60815313,-0.108233732,22.04,22.8,23.5,21.85,-8.850289495,6.82382134,46456,49659,1.02,1.77,2.29,85707,215609,0.06
1991/1/24,51922,2263,117.4071446,19.3210223,16.77457627,428.158,0.372033171,-0.682389155,-0.204470502,515543,78.02120141,-13.32571429,30.41016392,-20.09569378,38.28048214,68.12048949,33623.81002,-3.563717113,-10.29,24.70666667,-1.702566083,20.988,18.57872006,24.30632995,23.88945013,26.91642857,-4.9425,28.85650224,-3.0418,-70.09957447,-13.35639218,-0.111184646,21.71,21.65,22.2,21.05,-1.497277677,5.217785844,32001,51922,1.08,1.87,2.39,63767,206558,-0.45
1991/1/25,56555,4633,126.0633171,12.78482297,1.911330729,349.282,0.369602273,-0.790994064,-0.306367771,493180,80.56537102,-4.220689655,29.99375736,-21.68011739,36.72328471,64.46256039,33252.98183,-4.76799382,0.72,24.46666667,-1.779027295,21.46,21.64899882,22.68242963,23.4987655,26.43942857,-5.3675,26.02125148,-3.4004,-62.14606283,-13.08477796,-0.05720193,21.35,21.8,22.05,21.2,-1.658222018,3.91524643,22363,56555,0.9,1.67,2.19,45998,215207,-0.19
1991/1/28,57871,1316,139.4701937,8.988289945,-11.91168308,317.4,0.370760901,-0.888068015,-0.302959761,473520,83.32155477,-11.73333333,29.63600707,-24.35943703,34.8788157,67.26572529,32893.85302,-6.266658832,1.97,23.47333333,-1.849770099,21.588,21.47624656,20.68110149,23.10818619,25.96924286,-5.8545,26.49038462,-4.1784,-61.74279291,-12.67273106,-0.076299797,20.96,21.15,21.3,20.85,-1.826697892,2.107728337,19660,57871,0.8,1.45,1.9,39894,220059,1
1991/1/29,59753,1882,139.5866797,7.794362138,-15.23978014,298.748,0.362900976,-0.957710013,-0.3171875,502414,77.03180212,16.56470588,29.10884664,-19.93404177,42.75273932,70.21208226,34120.7452,-7.570898915,1.53,24.46666667,-1.813118221,21.582,25.13953991,35.89624453,22.91461908,25.55962857,-5.1825,23.84615385,-4.815,-47.42316949,-7.212116923,-0.152086137,21.85,20.85,21.95,20.8,4.246183206,5.486641221,28894,59753,0.96,1.7,2.2,54820,226526,-1.23
